Date,Year,Primary Type,Description,Location Description,District,Community Area,Latitude,Longitude,Arrest
05-03-2016 22:00,2016,THEFT,$500 AND UNDER,RESIDENCE,15,25,41.88629724,-87.76175071,FALSE
05-03-2016 17:30,2016,THEFT,FROM BUILDING,OTHER,12,28,41.87781186,-87.65575801,FALSE
05-03-2016 09:00,2016,THEFT,$500 AND UNDER,STREET,1,35,41.84301696,-87.61722727,FALSE
05-03-2016 22:08,2016,THEFT,OVER $500,STREET,14,24,41.91090083,-87.68601875,FALSE
05-03-2016 21:45,2016,THEFT,OVER $500,STREET,14,24,41.9082371,-87.67843742,FALSE
05-03-2016 18:30,2016,THEFT,OVER $500,RESIDENCE-GARAGE,19,7,41.92732184,-87.66581042,FALSE
05-03-2016 21:00,2016,THEFT,$500 AND UNDER,STREET,16,10,41.99596152,-87.79752856,FALSE
05-03-2016 07:00,2016,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,22,73,41.7213798,-87.64978116,FALSE
05-03-2016 20:30,2016,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),19,7,41.92527818,-87.65936796,FALSE
05-03-2016 19:30,2016,THEFT,$500 AND UNDER,STREET,25,23,41.90528413,-87.73261553,FALSE
05-03-2016 21:45,2016,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,19,6,41.94998639,-87.65319658,FALSE
05-03-2016 06:30,2016,THEFT,$500 AND UNDER,STREET,9,61,41.82034323,-87.64175921,FALSE
05-03-2016 21:00,2016,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),3,43,41.77107306,-87.56827866,FALSE
05-03-2016 19:00,2016,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,5,54,41.65324998,-87.60482818,FALSE
05-03-2016 19:00,2016,THEFT,$500 AND UNDER,STREET,17,21,41.94646154,-87.72072354,FALSE
05-03-2016 20:30,2016,THEFT,$500 AND UNDER,STREET,16,10,41.99370385,-87.79418524,FALSE
05-03-2016 13:00,2016,THEFT,OVER $500,STREET,18,8,41.88945317,-87.62799483,FALSE
05-03-2016 22:30,2016,THEFT,OVER $500,RESIDENCE-GARAGE,18,7,41.91994998,-87.65164906,FALSE
05-04-2016 11:15,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,6,44,41.74271022,-87.63408818,TRUE
05-03-2016 19:30,2016,THEFT,OVER $500,CTA TRAIN,1,32,41.86816541,-87.62743954,FALSE
05-03-2016 06:30,2016,THEFT,OVER $500,STREET,1,28,41.88316482,-87.6445084,FALSE
05-03-2016 18:30,2016,THEFT,$500 AND UNDER,STREET,16,10,41.99057177,-87.79339873,FALSE
05-03-2016 14:00,2016,THEFT,$500 AND UNDER,STREET,6,71,41.74771234,-87.66579808,FALSE
05-03-2016 09:00,2016,THEFT,OVER $500,APARTMENT,6,69,41.75776725,-87.60781822,FALSE
05-03-2016 00:30,2016,THEFT,$500 AND UNDER,CTA TRAIN,10,31,41.85442795,-87.68570021,FALSE
05-03-2016 12:15,2016,THEFT,$500 AND UNDER,APARTMENT,7,68,41.78272837,-87.64972028,FALSE
05-03-2016 20:00,2016,THEFT,OVER $500,STREET,16,10,41.99419755,-87.79647287,FALSE
05-04-2016 09:00,2016,THEFT,OVER $500,STREET,18,8,41.90178302,-87.62799506,FALSE
05-04-2016 05:00,2016,THEFT,OVER $500,APARTMENT,11,23,41.89436874,-87.71018083,FALSE
05-04-2016 12:35,2016,THEFT,RETAIL THEFT,GROCERY FOOD STORE,3,42,41.77431903,-87.60579503,FALSE
05-03-2016 18:30,2016,THEFT,FROM BUILDING,OTHER,8,66,41.78375742,-87.68376461,FALSE
05-03-2016 22:00,2016,THEFT,FROM BUILDING,RESIDENCE-GARAGE,16,15,41.94693295,-87.75554478,FALSE
05-03-2016 14:25,2016,THEFT,FROM BUILDING,APARTMENT,19,6,41.93925849,-87.66380409,FALSE
05-03-2016 18:10,2016,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,8,56,41.79327599,-87.77823659,FALSE
05-03-2016 14:00,2016,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,1,32,41.88575329,-87.62699624,FALSE
05-03-2016 21:00,2016,THEFT,$500 AND UNDER,STREET,9,60,41.83185793,-87.64491566,FALSE
05-03-2016 17:00,2016,THEFT,$500 AND UNDER,RESIDENCE,24,77,41.99615508,-87.67345707,FALSE
05-03-2016 10:00,2016,THEFT,FROM BUILDING,OTHER,18,8,41.90025005,-87.62727361,FALSE
05-03-2016 02:05,2016,THEFT,PURSE-SNATCHING,BAR OR TAVERN,19,6,41.94495301,-87.64941621,FALSE
05-03-2016 19:00,2016,THEFT,FROM BUILDING,ATHLETIC CLUB,19,6,41.93358238,-87.64551708,FALSE
05-03-2016 20:00,2016,THEFT,$500 AND UNDER,STREET,14,24,41.90711883,-87.67868029,FALSE
05-03-2016 16:30,2016,THEFT,OVER $500,APARTMENT,3,43,41.77270119,-87.58506036,FALSE
05-03-2016 13:00,2016,THEFT,RETAIL THEFT,SMALL RETAIL STORE,17,14,41.96119177,-87.70736456,FALSE
05-03-2016 17:00,2016,THEFT,FROM BUILDING,APARTMENT,19,6,41.945916,-87.65307443,FALSE
05-03-2016 14:00,2016,THEFT,FROM BUILDING,DRUG STORE,12,27,41.88098896,-87.70485404,FALSE
05-03-2016 18:00,2016,THEFT,$500 AND UNDER,OTHER,24,77,41.99345733,-87.65831807,FALSE
05-03-2016 22:00,2016,THEFT,$500 AND UNDER,STREET,2,40,41.78653906,-87.62063552,FALSE
05-03-2016 16:00,2016,THEFT,$500 AND UNDER,STREET,4,45,41.75273668,-87.59187063,FALSE
05-03-2016 12:00,2016,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,8,66,41.76474177,-87.67981809,FALSE
05-04-2016 08:00,2016,THEFT,$500 AND UNDER,STREET,6,71,41.74792601,-87.6633736,FALSE
05-03-2016 13:00,2016,THEFT,OVER $500,PARK PROPERTY,4,46,41.74628779,-87.56516873,FALSE
05-02-2016 08:30,2016,THEFT,FROM BUILDING,HOTEL/MOTEL,18,8,41.89083129,-87.63031551,FALSE
05-03-2016 12:25,2016,THEFT,FROM BUILDING,RESTAURANT,1,32,41.8807081,-87.62991973,FALSE
05-04-2016 01:10,2016,THEFT,$500 AND UNDER,STREET,7,67,41.76971165,-87.66880695,FALSE
05-04-2016 00:30,2016,THEFT,ATTEMPT THEFT,SIDEWALK,1,32,41.87527257,-87.62425131,FALSE
05-04-2016 05:40,2016,THEFT,$500 AND UNDER,STREET,3,42,41.77632263,-87.60583838,FALSE
05-04-2016 02:00,2016,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),11,23,41.89972579,-87.71889305,FALSE
05-04-2016 07:49,2016,THEFT,OVER $500,HOTEL/MOTEL,16,76,41.98105183,-87.83965884,FALSE
05-04-2016 06:20,2016,THEFT,$500 AND UNDER,STREET,7,67,41.77184205,-87.65672412,FALSE
05-04-2016 00:30,2016,THEFT,RETAIL THEFT,DRUG STORE,18,8,41.90347807,-87.6314331,TRUE
05-04-2016 10:00,2016,THEFT,$500 AND UNDER,OTHER,4,51,41.71457649,-87.56218047,FALSE
05-04-2016 05:25,2016,THEFT,$500 AND UNDER,STREET,8,56,41.79651187,-87.74041325,FALSE
05-04-2016 10:00,2016,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,18,8,41.8899369,-87.63756411,FALSE
05-04-2016 10:30,2016,THEFT,FROM BUILDING,OTHER,1,32,41.88177008,-87.63530987,FALSE
05-04-2016 11:15,2016,THEFT,POCKET-PICKING,GROCERY FOOD STORE,16,15,41.96672861,-87.76744511,FALSE
05-04-2016 11:00,2016,THEFT,RETAIL THEFT,DRUG STORE,19,6,41.93743245,-87.64918049,FALSE
05-04-2016 10:30,2016,THEFT,$500 AND UNDER,APARTMENT,4,43,41.75332296,-87.58410173,TRUE
05-04-2016 11:00,2016,THEFT,OVER $500,STREET,11,26,41.88071404,-87.72670591,FALSE
05-04-2016 12:30,2016,THEFT,PURSE-SNATCHING,SIDEWALK,6,71,41.73897822,-87.66314418,FALSE
05-04-2016 14:13,2016,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,9,58,41.80922913,-87.70034366,FALSE
05-04-2016 14:15,2016,THEFT,$500 AND UNDER,ALLEY,24,1,42.00063554,-87.6704602,FALSE
05-04-2016 07:00,2016,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),7,67,41.79139429,-87.65844739,FALSE
